perfil_id,inicio,fim,duracao,grau,instituicao,area
19,2014.0,2018.0,4.0,3.0,Centro Universitário de Belo Horizonte,Engenharia
20,2015.0,2018.0,3.0,3.0,Pontifícia Universidade Católica de Minas Gerais,Economia / Finanças
20,2001.0,2014.0,13.0,1.0,Colégio Santo Agostinho,Ensino Médio /Técnico
21,2014.0,2014.0,0.0,4.0,Loyola University New Orleans,Idioma
21,2008.0,2012.0,4.0,3.0,Universidade FUMEC,Engenharia
22,2015.0,2016.0,1.0,4.0,Centro Universitário de Belo Horizonte,Gestão / Negócios
22,2011.0,2014.0,3.0,3.0,Centro Universitário de Belo Horizonte,Comunicação / Publicidade
22,2003.0,2005.0,2.0,1.0,Escola Estadual Presidente Tancredo Neves,Ensino Médio /Técnico
23,2014.0,2019.0,5.0,3.0,Universidade Federal de Minas Gerais,Engenharia
24,2013.0,2015.0,2.0,4.0,Universidade Federal de Minas Gerais,TI
24,2006.0,2011.0,5.0,3.0,Universidade Federal de Minas Gerais,TI
24,2002.0,2004.0,2.0,2.0,Centro Federal de Educação Tecnológica de Minas Gerais,TI
25,2014.0,2019.0,5.0,3.0,Universidade Federal de Minas Gerais,Engenharia
26,2014.0,2018.0,4.0,3.0,Pontifícia Universidade Católica de Minas Gerais,Comunicação / Publicidade
27,2014.0,2018.0,4.0,3.0,Universidade Federal de Minas Gerais,Comunicação / Publicidade
28,2012.0,2013.0,1.0,3.0,Universidade Federal de Minas Gerais,Comunicação / Publicidade
28,2010.0,2011.0,1.0,3.0,Universidade do Porto,Comunicação / Publicidade
28,2006.0,2011.0,5.0,3.0,Universidade Federal de Minas Gerais,Comunicação / Publicidade
29,2009.0,2011.0,2.0,4.0,Universidade Federal do Amazonas,TI
29,2001.0,2004.0,3.0,3.0,Universidade Federal do Amazonas,TI
29,2000.0,2000.0,0.0,1.0,Colegio Militar de Manaus,Não Informado
30,2014.0,2020.0,6.0,3.0,Universidade Federal de Minas Gerais,Engenharia
31,2008.0,2012.0,4.0,3.0,Universidade Federal de Juiz de Fora,TI
31,2006.0,2008.0,2.0,2.0,"Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas",TI
32,2009.0,2011.0,2.0,3.0,Faculdade Estácio de Sá,Gestão / Negócios
33,2007.0,2008.0,1.0,4.0,Pontifícia Universidade Católica de Minas Gerais,TI
33,1994.0,1998.0,4.0,3.0,Escola de Engenharia Kennedy,Engenharia
33,1991.0,1993.0,2.0,2.0,Colégio Brasileiro,TI
34,2010.0,2013.0,3.0,4.0,Universidade Federal de Pernambuco,TI
34,2004.0,2008.0,4.0,3.0,Universidade Federal de Pernambuco,Não Informado
34,Não Informado,Não Informado,Não Informado,0.0,andre guedes,Não Informado
35,2005.0,2009.0,4.0,4.0,Universidade Federal de Minas Gerais,TI
35,2001.0,2004.0,3.0,3.0,Universidade Federal de Minas Gerais,TI
36,2014.0,2018.0,4.0,3.0,Universidade Federal de Minas Gerais,Engenharia
36,2016.0,2016.0,0.0,4.0,Hogeschool van Amsterdam,Economia / Finanças
36,2015.0,2016.0,1.0,4.0,Hogeschool van Amsterdam,Gestão / Negócios
37,2008.0,2012.0,4.0,3.0,COTEMIG,TI
38,2011.0,2014.0,3.0,3.0,Faculdade Católica Salesiana do Espírito Santo,TI
39,2016.0,2017.0,1.0,4.0,Pontifícia Universidade Católica de Minas Gerais,TI
39,2013.0,2013.0,0.0,4.0,Centro Universitário UNA,Gestão / Negócios
39,2012.0,2012.0,0.0,4.0,IGA - Instituto gastronomico argentino,Gastronomia
40,2015.0,2016.0,1.0,4.0,Pontifícia Universidade Católica de Minas Gerais,TI
40,2009.0,2014.0,5.0,3.0,Universidade Federal de Minas Gerais,TI
41,2013.0,2017.0,4.0,3.0,Fundação Getulio Vargas,Gestão / Negócios
41,2015.0,2015.0,0.0,2.0,Bridge Business College,Comunicação / Publicidade
42,2012.0,2016.0,4.0,3.0,Centro Federal de Educação Tecnológica de Minas Gerais,Gestão / Negócios
42,2009.0,2012.0,3.0,3.0,Centro Federal de Educação Tecnológica de Minas Gerais,Turismo
42,2017.0,2017.0,0.0,4.0,Pontifícia Universidade Católica de Minas Gerais,Comunicação / Publicidade
43,2010.0,2014.0,4.0,3.0,Universidade Federal de Alfenas,Economia / Finanças
