perfil_id,endorsement_count,name,agrupamento
12,5,Gestão por indicadores,Gestão / Administração
12,3,Gerenciamento de processos,Gestão / Administração
12,9,Microsoft Excel,Informática / Softwares
12,9,Inglês,Idiomas
13,10,Atendimento ao Cliente,Negócios / Marketing
13,13,Marketing,Negócios / Marketing
13,6,Gestão,Gestão / Administração
13,8,Liderança,Comportamento / Social
13,4,Oratória,Oratória / Escrita
13,5,Planejamento de eventos,Gestão / Administração
13,7,Publicidade,Negócios / Marketing
13,1,Gestão de projetos,Gestão / Administração
14,7,English,Idiomas
14,6,Negotiation,Negócios / Marketing
14,5,Team Leadership,Gestão / Administração
14,4,Management,Gestão / Administração
14,4,Engineering,Engenharia
14,4,Marketing Strategy,Negócios / Marketing
14,3,Business Planning,Negócios / Marketing
14,1,Project Management,Gestão / Administração
16,6,Microsoft Excel,Informática / Softwares
16,6,English,Idiomas
16,4,Negotiation,Negócios / Marketing
16,4,Microsoft Office,Informática / Softwares
16,3,Portuguese,Idiomas
16,3,Business Planning,Negócios / Marketing
16,3,Team Leadership,Gestão / Administração
16,1,Strategic Planning,Gestão / Administração
16,1,Business Strategy,Negócios / Marketing
16,1,Microsoft Word,Informática / Softwares
16,1,PowerPoint,Informática / Softwares
16,Não Informado,PDCA,Gestão / Administração
16,Não Informado,SAP R/3,Gestão / Administração
16,Não Informado,Spanish,Idiomas
16,Não Informado,Microsoft PowerPoint,Informática / Softwares
17,3,English,Idiomas
17,2,Microsoft PowerPoint,Informática / Softwares
17,2,Microsoft Office,Informática / Softwares
17,2,SolidWorks,Informática / Softwares
17,1,Sketching,Design / Artes
17,1,Microsoft Excel,Informática / Softwares
17,1,Engineering,Engenharia
17,1,Microsoft Word,Informática / Softwares
17,1,Product Design,Gestão / Administração
17,1,Product Development,Gestão / Administração
17,1,Teamwork,Gestão / Administração
17,1,Living Abroad,Idiomas
18,2,Marketing,Negócios / Marketing
18,2,Relações públicas,Negócios / Marketing
18,2,Marketing comercial,Negócios / Marketing
18,1,Experiência do cliente,Negócios / Marketing
18,1,Gestão de equipes,Gestão / Administração
18,1,Gestão de eventos,Gestão / Administração
19,2,Microsoft Excel,Informática / Softwares
19,2,Atendimento ao Cliente,Negócios / Marketing
19,1,Microsoft Office,Informática / Softwares
19,Não Informado,Microsoft Project,Gestão / Administração
19,Não Informado,Gestão,Gestão / Administração
19,Não Informado,Microsoft PowerPoint,Informática / Softwares
19,Não Informado,CEP (Controle estatístico de processos),Gestão / Administração
19,1,Empreendedorismo,Empreendedorismo
19,Não Informado,Metrologia,Gestão / Administração
19,Não Informado,CLP (Controlador lógico programável),TI / Desenvolvedor
